frame.len,tcp.srcport,tcp.dstport,ip.proto,tcp.len,tcp.window_size,frame.time_delta,label
11035,443,55386,6,10981,64240,0.00045514,0
54,55386,443,6,0,65535,0.000061738,0
5702,443,55386,6,5648,64240,0.005165641,0
10274,443,55386,6,10220,64240,0.000000872,0
54,55386,443,6,0,65535,0.000135437,0
54,55386,443,6,0,65535,0.000157596,0
2542,443,55386,6,2488,64240,0.000365876,0
10776,443,55386,6,10722,64240,0.000000428,0
54,55386,443,6,0,65535,0.00005236,0
54,55386,443,6,0,65535,0.000159144,0
9938,443,55386,6,9884,64240,0.033325862,0
15586,443,55386,6,15532,64240,0.000000957,0
54,55386,443,6,0,65535,0.000135368,0
54,55386,443,6,0,65535,0.00023382,0
9938,443,55386,6,9884,64240,0.000230627,0
54,55386,443,6,0,65535,0.000060488,0
7114,443,55386,6,7060,64240,0.002526531,0
5702,443,55386,6,5648,64240,0.000000543,0
54,55386,443,6,0,65535,0.000076395,0
54,55386,443,6,0,65535,0.000201967,0
4290,443,55386,6,4236,64240,0.000194504,0
54,55386,443,6,0,65535,0.000052289,0
4290,443,55386,6,4236,64240,0.003712995,0
11350,443,55386,6,11296,64240,0.000000741,0
54,55386,443,6,0,65535,0.000094001,0
54,55386,443,6,0,65535,0.000279373,0
7114,443,55386,6,7060,64240,0.000472205,0
54,55386,443,6,0,65535,0.000047141,0
5702,443,55386,6,5648,64240,0.002271231,0
54,55386,443,6,0,65535,0.000279958,0
8526,443,55386,6,8472,64240,0.00661863,0
11350,443,55386,6,11296,64240,0.000000676,0
54,55386,443,6,0,65535,0.000101344,0
54,55386,443,6,0,65535,0.000423596,0
5702,443,55386,6,5648,64240,0.000301677,0
8526,443,55386,6,8472,64240,0.000000547,0
54,55386,443,6,0,65535,0.000062351,0
54,55386,443,6,0,65535,0.000167392,0
7114,443,55386,6,7060,64240,0.003451044,0
7114,443,55386,6,7060,64240,0.000000777,0
54,55386,443,6,0,65535,0.000085456,0
54,55386,443,6,0,65535,0.000320867,0
8526,443,55386,6,8472,64240,0.000124357,0
54,55386,443,6,0,65535,0.000029527,0
7114,443,55386,6,7060,64240,0.000820832,0
5702,443,55386,6,5648,64240,0.000000672,0
54,55386,443,6,0,65535,0.000077071,0
54,55386,443,6,0,65535,0.000387973,0
8526,443,55386,6,8472,64240,0.003566752,0
2878,443,55386,6,2824,64240,0.000000604,0
54,55386,443,6,0,65535,0.000105749,0
54,55386,443,6,0,65535,0.0001939,0
2878,443,55386,6,2824,64240,0.000898306,0
7114,443,55386,6,7060,64240,0.000001091,0
54,55386,443,6,0,65535,0.000061335,0
54,55386,443,6,0,65535,0.00015071,0
5702,443,55386,6,5648,64240,0.003377953,0
54,55386,443,6,0,65535,0.00008708,0
8526,443,55386,6,8472,64240,0.00305626,0
7114,443,55386,6,7060,64240,0.000000604,0
54,55386,443,6,0,65535,0.000165373,0
54,55386,443,6,0,65535,0.000258088,0
2878,443,55386,6,2824,64240,0.000752523,0
11350,443,55386,6,11296,64240,0.000000542,0
54,55386,443,6,0,65535,0.000066334,0
54,55386,443,6,0,65535,0.000413277,0
5702,443,55386,6,5648,64240,0.000195783,0
1466,443,55386,6,1412,64240,0.000000836,0
54,55386,443,6,0,65535,0.00017328,0
54,55386,443,6,0,65535,0.001224193,0
4290,443,55386,6,4236,64240,0.000416969,0
5702,443,55386,6,5648,64240,0.000000442,0
5702,443,55386,6,5648,64240,0.000000204,0
2878,443,55386,6,2824,64240,0.00019275,0
2878,443,55386,6,2824,64240,0.000000698,0
2878,443,55386,6,2824,64240,0.000000232,0
54,55386,443,6,0,65535,0.000059446,0
5702,443,55386,6,5648,64240,0.000273987,0
2878,443,55386,6,2824,64240,0.000000686,0
54,55386,443,6,0,65535,0.000057954,0
54,55386,443,6,0,65535,0.000192898,0
2878,443,55386,6,2824,64240,0.000054578,0
1466,443,55386,6,1412,64240,0.00000066,0
2878,443,55386,6,2824,64240,0.000000295,0
1466,443,55386,6,1412,64240,0.00000019,0
54,55386,443,6,0,65535,0.000216348,0
8526,443,55386,6,8472,64240,0.000073545,0
1466,443,55386,6,1412,64240,0.000000526,0
2878,443,55386,6,2824,64240,0.000000206,0
2878,443,55386,6,2824,64240,0.000124328,0
2878,443,55386,6,2824,64240,0.000001004,0
54,55386,443,6,0,65535,0.000111664,0
1466,443,55386,6,1412,64240,0.002344797,0
2878,443,55386,6,2824,64240,0.000000933,0
54,55386,443,6,0,65535,0.000059723,0
1466,443,55386,6,1412,64240,0.000495521,0
1466,443,55386,6,1412,64240,0.000000816,0
2878,443,55386,6,2824,64240,0.000000322,0
2878,443,55386,6,2824,64240,0.000000288,0
1466,443,55386,6,1412,64240,0.000000157,0
