frame.len,tcp.srcport,tcp.dstport,ip.proto,label
66,51720,5000,6,0
66,5000,51720,6,0
60,51720,5000,6,0
724,51720,5000,6,0
54,5000,51720,6,0
228,5000,51720,6,0
88,5000,51720,6,0
60,51720,5000,6,0
60,51720,5000,6,0
54,5000,51720,6,0
